time,task_id,duration,cpu
1721234090350,12176267682-105,1720225102765,0.000000
0,12176267134-224,0,0.000000
0,12176267134-226,0,0.000000
0,12176267134-229,0,0.000000
2647665796670,6548249910-1,2626796005923,0.064819
0,12176267134-230,0,0.000000
0,12176267134-231,0,0.000000
0,12176267134-232,0,0.000000
0,12176267134-233,0,0.000000
1727072777468,12176267601-101,1726129279703,0.000000
1726571018625,12176267601-102,1724786505382,0.000000
2647667465374,6548249910-0,2642248589646,0.064819
2506819802076,12176267601-105,2505241595762,0.000000
2422548027081,12176267601-109,2420870973784,0.000000
1724941068175,12176267601-110,1723782604964,0.000000
1726340882843,12176267601-111,1725361288407,0.000000
2581282500067,12176267601-112,2578837385147,0.000000
1725404421019,12176267601-116,1724537993009,0.000000
738039849046,6548249438-7,73585352,0.064819
1715652044069,12176267682-104,1714613919821,0.000000
2503416466602,12176267682-103,2501659175291,0.000000
694839863153,6548249438-6,639066079170,0.064819
650854119531,201428-626,576380111718,0.024475
2498078560676,4902196-10,2441124129856,0.016205
1750370806612,12176267682-102,1749454783617,0.000000
1750524949177,12176267682-101,1846009621474,0.000000
2597345332462,12176267682-100,2595691496664,0.000000
2580973278458,12176267601-119,2579234265230,0.000000
1725487865706,12176267601-118,1724182589454,0.000000
2487639851440,6548249438-8,2450397005372,0.064819
2159801581196,11688827750-631,2159730054383,0.070435
2606296887204,786925-111,2606026490509,0.070435
2668921051831,11688827750-629,2668429636241,0.070435
2638839843317,8225507-45,2504064436322,nan
2163639858807,8225507-44,2087263520431,0.000464
2467701765218,11688827750-120,2467436642469,0.070435
1645239896327,8225507-43,1618518152568,nan
2360264288019,8225507-41,2260494333192,nan
2638839843316,7513312285-6,2573065594672,0.008102
2467581118043,11688827750-122,2467479891689,0.070435
2467662251205,11688827750-123,2467380962878,0.070435
2467568469387,11688827750-124,2467494791510,0.070435
1126839869084,8225507-39,1100378493649,0.001406
2467606505090,11688827750-125,2467556440156,0.070435
2467710588685,11688827750-126,2466897581755,0.070435
2626909305154,11688827750-128,2626163414759,0.070435
2467646365375,11688827750-129,2467365202078,0.070435
1078835095178,8225507-47,2350869453065,0.000460
2467612796625,11688827750-131,2467267481502,0.070435
2467867297554,11688827750-134,2467273464164,0.070435
2012439841710,7513312285-5,1989333581422,0.008102
2467574296447,11688827750-135,2466939562939,0.070435
2467630307061,11688827750-136,2467083941076,0.070435
2467743067075,11688827750-137,2467135463787,0.070435
2467569665973,11688827750-139,2467373395614,0.070435
2467635812462,11688827750-142,2467606388647,0.070435
2075863297065,7513312285-4,1925050591700,0.008102
2467567198350,11688827750-143,2467436901247,0.070435
2467637560810,11688827750-145,2467010745290,0.070435
2467615683562,11688827750-146,2467530874157,0.070435
2467860877260,11688827750-147,2467527612356,0.070435
2467950516658,11688827750-148,2467586542251,0.070435
2467953866870,11688827750-149,2467510501608,0.070435
2467887363917,11688827750-132,2467479636308,0.070435
1990839854014,8225507-48,2322191517210,0.001175
